test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.046500093539943915,-0.049456364383094475,-0.04356915960724,0.0015038649432255905,0.602375,4,8000,4,-0.1387990525782918,0.04579886549840398,0.02900251887521466,0.2071972467255657,0.125,-1.2331891839810467,0.007463618248544079,-0.10218016530107707,-0.010696965649724006,,,False,env_mean_t,True,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0003116942383348942,-0.0015144893453456455,0.0009013117977417996,0.000622827211870227,0.500375,4,8000,4,-0.003640404083286537,0.003017015606616748,0.0010459594681692188,0.7851507594338853,0.75,-0.016418187408744525,0.0024083501444206313,-0.002340782627463341,0.0014395819790661334,,,False,env_mean_t,True,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,200,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,,,,,,,,,,False,none,False,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,1000,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03790545856859535,-0.03969029366094619,-0.036167511800373905,0.0008871725455433549,0.6464375,4,8000,4,-0.08668044403347418,0.010869526896283482,0.015326255586433421,0.0898063274588172,0.125,-0.22273493170124403,-0.006869177671799516,-0.06458927528001368,-0.015287712156772614,,,False,env_mean_t,True,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,1000,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,0.0,0.0,0.0,0.0,0.5,4,8000,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,1000,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,,,,,,,,,,False,none,False,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,2000,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,missing:phi_k16,,,,,,0,0,0,,,,,,,,,,,,False,none,False,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,2000,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,missing:phi_k16,,,,,,0,0,0,,,,,,,,,,,,False,none,False,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,A,2000,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,not_evaluated:phi_k16_quality,,,,,,0,0,0,,,,,,,,,,,,False,none,False,True,0,True,10000
D,posterior_mean_shrunk,family_horizon,B,200,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03383943818890839,-0.03616659870553995,-0.03148202445664429,0.0011975689899634575,0.60025,4,8000,4,-0.09388396835469123,0.02620509197687445,0.018867413431639973,0.17078186257228503,0.125,-1.1096363945598464,0.008033695394497595,-0.06513198474422098,-0.005234215497970581,,,False,env_mean_t,True,True,0,True,10000
